planned_dur_yr,actual_dur_yr,duration_ratio,installed_cap_mw,initial_cost,cost_per_mw,dam_height_m,dam_length_m,tunnel_length_m,tunnel_per_mw,elevation_m,transmission_km,rainfall,seismic_zone,forest_area_ha,dist_road_km,landowner_displaced,glof_risk,contract_retendered,state_uttarakhand,ctype_EPC,ctype_IR,ctype_OTHER,funder_CG,funder_SG,funder_WB,funder_ADB,funder_IFC,funder_private,funder_PSU,geo_prob_no,geo_prob_unknown,geo_prob_yea-landslide,geo_prob_yes,geo_prob_yes-cloudburst,geo_prob_yes-delays,geo_prob_yes-faults+silterosion,geo_prob_yes-ff,geo_prob_yes-flashflood,geo_prob_yes-forcemajuer,geo_prob_yes-fundstop+silterosion,geo_prob_yes-fundstop+stresstransition,geo_prob_yes-labour,geo_prob_yes-landslide,geo_prob_yes-landslide+cloudburst,geo_prob_yes-landslide+ff,geo_prob_yes-landslide+sz,geo_prob_yes-penstockburst,geo_prob_yes-reseviorfloor,geo_prob_yes-rockburst,geo_prob_yes-rollingboulder,geo_prob_yes-suspended,geo_prob_yes-sz,geo_prob_yes-sz+wi,geo_prob_yes-water-ingress,geo_prob_yes-wateringress,geo_prob_yes-wi,pct_cost_overrun
0.19999999999999996,0.15254237288135594,0.2586206896551725,0.1191919191919192,0.09540619658200358,0.32622900023738866,0.0614406779661017,0.1103388357949609,0.3114233576642336,0.38093750000000004,0.19324356248523508,0.04659660727621893,0.606314750863345,1.0,0.016085000000000002,0.001,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.18478891676165
0.19999999999999996,0.3050847457627119,0.4913793103448276,0.11111111111111112,0.0042256800368237184,0.012187408901127598,0.2245762711864407,0.13900955690703734,0.27846715328467153,0.36333333333333334,0.06827309236947793,0.025125360076816386,0.5510606808090776,1.0,0.0285,0.003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.32743968271694
0.3999999999999999,0.288135593220339,0.3517241379310345,1.0,0.19161366311018788,0.07863618607857566,0.2648305084745763,0.16072980017376193,1.0,0.15657142857142858,0.021431608788093554,0.0592659767417049,0.6620621608288111,0.0,0.0589975,0.002,0.02318840579710145,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.64242049932756
0.3999999999999999,0.20677966101694917,0.25241379310344825,0.3400673400673401,0.25026757709375885,0.3140060040976946,0.18220338983050846,0.1989574283231972,0.28740875912408764,0.12980769230769232,0.00622096228049453,0.0004534300650805505,0.7409965466206218,0.5,0.04562,0.0025,0.008405797101449276,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.933238159022117
0.6000000000000001,0.2542372881355932,0.24137931034482765,0.35353535353535354,0.08928962373713531,0.10426725175074185,0.5932203389830508,0.682015638575152,0.23408759124087594,0.10180952380952382,0.059374753917631314,0.026192254347594153,0.8026640355204737,1.0,0.055,1.0,0.020917874396135266,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,121.4386081806241
0.29999999999999993,0.05355932203389832,0.08413793103448278,0.19191919191919193,0.17945386450760076,0.3923903557317507,0.18220338983050846,0.10295395308427453,0.2857664233576643,0.22371428571428573,0.07213166391054415,0.0005867918489277713,0.6053280710409473,1.0,0.0394,0.0,0.007584541062801932,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.81010913251976
0.3999999999999999,0.15254237288135594,0.18620689655172415,0.14545454545454545,0.14275960721367198,0.40611228486646883,0.2711864406779661,0.0634231103388358,0.5828467153284672,0.5925788497217069,0.07599023545161038,0.001280273124933319,0.35865811544153925,1.0,0.0494907,0.0025,0.01855072463768116,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.66178556142243
0.3999999999999999,0.22033898305084748,0.2689655172413794,0.11111111111111112,0.1777236007931262,0.6519557575786349,0.0,0.1103388357949609,0.5686131386861314,0.741904761904762,0.1150484290101583,0.008855222447455458,0.6053280710409473,1.0,0.037615,0.07,0.014492753623188406,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.565205821075251
0.6000000000000001,0.15254237288135594,0.13793103448275865,0.2673400673400673,0.2007524475498064,0.31825914632710084,0.0,0.0,0.5536496350364964,0.31560332871012486,0.061737144657059616,0.00938866958284434,0.5559940799210656,0.0,0.0245,0.0,0.008067632850241546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,103.26258251165872
0.3999999999999999,0.0,0.0,0.04781144781144781,0.0367213687848173,0.283444423256366,0.06779661016949153,0.26498696785403997,0.11313868613138688,0.30897009966777406,0.12851405622489961,0.0059826096233863224,0.5066600888011841,1.0,0.0305,0.24,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.078401872462656
